Week,Team,Opponent,Location,Stadium Type,First Downs,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Passing Completions,Passing Attempts,Passing Yards,Passing Touchdowns,Interceptions,Total Sacks,Total Sack Yards,Total Fumbles,Total Fumbles Lost,Turnovers,Total Penalties,Total Penalty Yards,Total 3rd Down Attempts,Total 3rd Down Completions,3rd Down Conversion,Total 4th Down Attempts,Total 4th Down Completions,4th Down Conversion,Time of Possesion,Points,Opponent Points,Win/Loss
1,Texans,Colts,Away,Indoor,26,40,213,1,24,32,234,2,0,4,30,0,0,0,5,30,14,7,0.5,2,2,1,40.0,29,27,Win
1,Colts,Texans,Home,Indoor,14,22,104,2,9,19,212,2,1,2,13,0,0,1,4,20,10,5,0.5,2,1,0.5,20.0,27,29,Loss
1,Rams,Lions,Away,Indoor,26,23,83,1,34,49,317,1,1,2,13,0,0,1,6,50,12,5,0.4166666667,2,1,0.5,34.9,20,26,Loss
1,Lions,Rams,Home,Indoor,21,31,163,2,18,28,217,1,1,2,17,0,0,1,6,56,13,6,0.4615384615,1,1,1,29.8,26,20,Win
1,Jaguars,Dolphins,Away,Outdoor,17,26,128,1,12,21,162,1,0,3,23,2,1,1,8,71,10,2,0.2,1,0,0,26.8,17,20,Loss
1,Dolphins,Jaguars,Home,Outdoor,18,25,81,1,23,37,338,1,0,3,19,0,0,0,9,103,16,8,0.5,2,0,0,33.2,20,17,Win
1,Panthers,Saints,Away,Indoor,11,20,58,1,13,31,161,0,2,4,26,1,1,3,6,80,10,1,0.1,3,1,0.3333333333,23.4,10,47,Loss
1,Saints,Panthers,Home,Indoor,22,37,180,2,19,24,200,3,0,1,1,1,1,1,10,95,13,7,0.5384615385,0,0,,36.7,47,10,Win
1,Vikings,Giants,Away,Outdoor,17,26,111,1,19,24,208,2,1,1,7,1,1,2,7,63,10,3,0.3,1,1,1,27.6,28,6,Win
1,Giants,Vikings,Home,Outdoor,14,21,74,0,22,42,186,0,2,5,20,1,0,2,9,95,18,7,0.3888888889,3,1,0.3333333333,32.4,6,28,Loss
1,Raiders,Chargers,Away,Outdoor,14,22,71,0,25,33,257,1,1,4,32,2,2,3,2,15,14,5,0.3571428571,1,0,0,31.7,10,22,Loss
1,Chargers,Raiders,Home,Outdoor,11,27,176,1,17,26,144,1,0,1,4,0,0,0,7,50,15,4,0.2666666667,0,0,,28.3,22,10,Win
1,Broncos,Seahawks,Away,Outdoor,13,25,99,1,26,42,138,0,2,2,6,2,1,3,8,60,18,5,0.2777777778,1,1,1,31.2,20,26,Loss
1,Seahawks,Broncos,Home,Outdoor,19,33,146,2,18,25,171,1,1,2,13,1,1,2,6,41,12,4,0.3333333333,0,0,,28.8,26,20,Win
1,Commanders,Buccaneers,Away,Outdoor,22,30,138,3,17,24,184,0,0,2,23,3,0,0,7,51,8,2,0.25,1,1,1,26.3,20,37,Loss
1,Buccaneers,Commanders,Home,Outdoor,22,30,112,0,24,30,289,4,0,1,9,0,0,0,7,46,13,9,0.6923076923,0,0,,33.7,37,20,Win
1,Jets,49ers,Away,Outdoor,14,19,68,1,19,29,203,2,1,1,5,1,1,2,3,10,10,6,0.6,1,0,0,21.3,19,32,Loss
1,49ers,Jets,Home,Outdoor,24,38,180,2,19,29,231,0,0,3,10,0,0,0,4,40,13,6,0.4615384615,0,0,,38.7,32,19,Win
2,Bills,Dolphins,Away,Outdoor,13,26,108,2,13,19,139,1,0,0,0,1,0,0,1,5,9,3,0.3333333333,1,1,1,23.7,31,10,Win
2,Dolphins,Bills,Home,Outdoor,20,34,139,0,25,39,225,1,3,2,13,0,0,3,7,50,15,7,0.4666666667,5,1,0.2,36.3,10,31,Loss
2,Chargers,Panthers,Away,Outdoor,21,44,219,1,14,20,130,2,1,1,0,1,1,2,3,15,16,9,0.5625,0,0,,36.3,26,3,Win
2,Panthers,Chargers,Home,Outdoor,7,18,90,0,18,26,84,0,1,2,15,0,0,1,9,90,12,1,0.08333333333,3,1,0.3333333333,23.7,3,26,Loss
2,Rams,Cardinals,Away,Indoor,14,20,53,1,19,27,216,0,0,5,24,1,1,1,2,10,11,2,0.1818181818,3,1,0.3333333333,23.1,10,41,Loss
2,Cardinals,Rams,Home,Indoor,24,40,231,1,17,21,266,3,0,1,8,2,1,1,5,52,11,7,0.6363636364,0,0,,36.9,41,10,Win
2,Saints,Cowboys,Away,Indoor,24,39,190,4,11,16,243,2,1,1,1,0,0,1,5,40,8,5,0.625,0,0,,30.5,44,19,Win
2,Cowboys,Saints,Home,Indoor,20,21,68,0,28,42,299,1,2,3,14,1,0,2,4,26,13,6,0.4615384615,3,1,0.3333333333,29.5,19,44,Loss
2,Steelers,Broncos,Away,Outdoor,16,36,141,0,13,20,117,1,0,2,7,1,0,0,10,78,13,4,0.3076923077,0,0,,32.3,13,6,Win
2,Broncos,Steelers,Home,Outdoor,13,19,64,0,20,23,246,0,2,2,15,0,0,2,9,124,12,2,0.1666666667,2,1,0.5,27.7,6,13,Loss
2,Buccaneers,Lions,Away,Indoor,14,23,70,1,12,19,185,1,1,5,39,2,0,1,4,35,10,2,0.2,0,0,,26.1,20,16,Win
2,Lions,Buccaneers,Home,Indoor,26,27,139,1,35,56,324,0,2,0,0,0,0,2,4,71,17,7,0.4117647059,5,3,0.6,33.9,16,20,Loss
2,Colts,Packers,Away,Outdoor,19,18,140,0,17,34,204,1,3,1,6,3,0,3,3,20,9,2,0.2222222222,2,1,0.5,19.8,10,16,Loss
2,Packers,Colts,Home,Outdoor,19,53,261,0,12,14,122,1,0,0,0,2,1,1,6,50,17,10,0.5882352941,0,0,,40.2,16,10,Win
2,Bears,Texans,Away,Indoor,15,22,71,1,23,37,174,0,2,7,40,0,0,2,9,60,17,6,0.3529411765,2,1,0.5,31.2,13,19,Loss
2,Texans,Bears,Home,Indoor,15,22,75,0,23,36,260,1,0,3,25,1,1,1,12,115,14,4,0.2857142857,1,1,1,28.8,19,13,Win
2,Browns,Jaguars,Away,Outdoor,17,29,125,1,22,34,186,0,0,2,14,1,0,0,13,100,14,2,0.1428571429,3,3,1,34.4,18,13,Win
2,Jaguars,Browns,Home,Outdoor,18,21,127,1,14,30,220,0,0,4,24,1,0,0,6,52,9,3,0.3333333333,0,0,,25.6,13,18,Loss
2,Bengals,Chiefs,Away,Outdoor,18,22,74,0,23,36,258,2,0,3,12,3,1,1,8,79,13,4,0.3076923077,2,2,1,31.5,25,26,Loss
2,Chiefs,Bengals,Home,Outdoor,19,32,149,0,18,25,151,2,2,2,14,1,1,3,4,44,8,1,0.125,2,2,1,28.5,26,25,Win
2,49ers,Vikings,Away,Indoor,24,25,102,1,28,36,319,1,1,6,25,3,1,2,4,30,10,2,0.2,3,1,0.3333333333,34.8,17,23,Loss
2,Vikings,49ers,Home,Indoor,17,24,146,0,17,26,268,2,1,4,11,3,1,2,7,53,12,7,0.5833333333,0,0,,25.2,23,17,Win
2,Seahawks,Patriots,Away,Outdoor,18,19,46,1,33,44,327,1,0,3,15,0,0,0,6,50,15,7,0.4666666667,2,1,0.5,29.7,23,20,Win
2,Patriots,Seahawks,Home,Outdoor,19,36,185,1,15,27,149,1,0,3,24,1,0,0,3,42,16,6,0.375,0,0,,35.7,20,23,Loss
2,Jets,Titans,Away,Outdoor,16,24,101,1,18,30,176,2,0,2,12,0,0,0,7,70,12,5,0.4166666667,0,0,,30.1,24,17,Win
2,Titans,Jets,Home,Outdoor,20,28,130,1,19,28,192,1,1,4,22,1,1,2,5,45,12,5,0.4166666667,1,0,0,30.0,17,24,Loss
2,Raiders,Ravens,Away,Outdoor,18,17,27,1,30,38,276,1,1,5,43,1,0,1,3,15,12,4,0.3333333333,1,0,0,30.7,26,23,Win
2,Ravens,Raiders,Home,Outdoor,21,27,151,1,21,34,247,1,1,2,15,0,0,1,11,109,11,3,0.2727272727,1,1,1,29.3,23,26,Loss
2,Giants,Commanders,Away,Outdoor,18,22,129,1,16,28,178,2,0,1,3,1,1,1,5,20,8,4,0.5,2,1,0.5,22.5,18,21,Loss
2,Commanders,Giants,Home,Outdoor,22,35,215,0,23,29,226,0,0,5,16,0,0,0,10,69,14,7,0.5,1,1,1,37.5,21,18,Win
2,Falcons,Eagles,Away,Outdoor,22,28,152,0,20,29,241,2,0,1,8,1,0,0,3,40,9,2,0.2222222222,2,1,0.5,24.4,22,21,Win
2,Eagles,Falcons,Home,Outdoor,22,37,186,1,23,30,183,1,1,1,4,0,0,1,9,53,13,6,0.4615384615,3,2,0.6666666667,36.7,21,22,Loss
3,Patriots,Jets,Away,Outdoor,11,15,78,0,16,26,120,0,0,7,59,1,1,1,5,70,11,2,0.1818181818,3,3,1,19.9,3,24,Loss
